Sehir,Marka,Seri,Model,Yil,Yakit,Km,Hp,Cc,Fiyat,Sehirici,Sehirdisi,Ortalama,Bagaj
Istanbul,Fiat ,1.6 Multijet Comfort ,Egea ,2017,Dizel,38000,120,1598,159500,4.5,3.5,3.9,520.0
Antalya,Skoda ,1.0 GreenTec Style ,Fabia ,2017,Benzin,30000,110,999,157000,5.4,4.1,4.6,305.0
Gaziantep,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,34000,90,1398,153000,7.8,4.9,6.0,285.0
Samsun,Suzuki ,1.2 GL ,Swift ,2016,Benzin,35800,94,1242,158000,6.8,4.9,5.6,211.0
Malatya,Fiat ,1.6 E-Torq Urban ,Egea ,2017,Benzin,47000,110,1598,158000,8.5,5.0,6.3,520.0
Istanbul,Peugeot ,1.6 BlueHDi Active ,208 ,2017,Dizel,36800,100,1560,157500,4.1,3.2,3.5,285.0
Istanbul,Hyundai ,1.4 MPI Jump ,i20 ,2017,Benzin,19000,100,1368,154900,8.2,4.8,6.2,301.0
Elazig,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2019,Benzin,22000,90,898,158000,5.7,4.7,5.1,320.0
Istanbul,Hyundai ,1.4 MPI Style  ,i20 ,2018,Benzin,36500,100,1368,152000,8.5,5.1,6.4,301.0
Mersin,Toyota ,1.6 Active ,Auris ,2015,Benzin & LPG,42000,132,1598,160000,7.4,4.8,5.7,353.0
Istanbul,Dacia ,1.5 dCi Stepway ,Sandero ,2016,Dizel,31093,90,1461,151000,3.9,3.8,3.8,320.0
Edirne,Toyota ,1.33 Style ,Yaris ,2016,Benzin,28000,99,1329,157000,6.3,4.5,5.1,286.0
Istanbul,Peugeot ,Allure  ,208 1.2 PureTech ,2016,Benzin,47000,82,1199,159500,5.5,3.9,4.5,285.0
Istanbul,Hyundai ,1.6 CRDI Mode Plus ,Accent Blue ,2017,Dizel,45000,136,1582,161000,5.7,4.0,4.6,465.0
Izmir,Nissan ,1.2 Street ,Micra ,2018,Benzin,16000,80,1198,156500,6.7,4.6,5.4,265.0
Istanbul,Opel ,1.4 Essentia ,Corsa ,2017,Benzin,8685,90,1398,156900,7.8,4.9,6.0,285.0
Eskisehir,Opel ,1.4 Essentia ,Corsa ,2017,Benzin,31000,90,1398,159000,7.8,4.9,6.0,285.0
Istanbul,Hyundai ,Mode Plus ,Accent Blue 1.4 D-CVVT ,2013,Benzin,37000,100,1368,154750,8.2,5.4,6.4,465.0
