Sehir,Marka,Seri,Model,Yil,Yakit,Km,Hp,Cc,Fiyat,Sehirici,Sehirdisi,Ortalama,Bagaj
Istanbul,Nissan ,1.2 Street ,Micra ,2018,Benzin,14000,80,1198,160000,6.7,4.6,5.4,265.0
Diyarbakir,Ford ,1.6 Titanium X ,Fiesta ,2016,Benzin,37100,113.0,1450.5,160000,nan,,,
Istanbul,Kia ,1.4 CVVT Elegance  ,Rio ,2018,Benzin,42700,100,1368,160000,8.2,4.9,6.1,325.0
Istanbul,Renault ,1.6 Touch ,Megane ,2013,Benzin,12510,115,1598,160000,8.6,5.1,6.4,372.0
Mugla,Renault ,1.5 dCi Icon ,Clio ,2017,Dizel,49000,90,1461,160000,4.3,3.3,3.7,300.0
Elazig,Hyundai ,1.4 MPI Elite ,i20 ,2017,Benzin & LPG,40000,100,1368,160000,8.5,5.1,6.4,301.0
Balikesir,Citroen ,1.6 VTi Feel ,C3 ,2017,Benzin,35000,115,1587,160000,9.2,5.3,6.8,300.0
Ankara,Ford ,1.6 Ti-VCT Titanium ,Focus ,2013,Benzin & LPG,158,125,1596,160000,8.1,4.8,6.0,476.0
Ankara,Renault ,1.2 Turbo Icon ,Clio ,2016,Benzin,35000,120,1197,160000,6.6,4.4,5.2,300.0
Antalya,Hyundai ,1.2 D-CVVT Elite ,i10 ,2016,Benzin,47028,87,1248,160000,7.4,5.0,5.9,252.0
Rize,Ford ,1.6 Titanium X ,Fiesta ,2013,Benzin,33000,105,1596,160000,8.4,4.5,5.9,290.0
Tokat,Hyundai ,1.6 D-CVVT Style ,Elantra ,2013,Benzin & LPG,47543,138.0,1450.5,160000,nan,,,
Istanbul,Renault ,1.5 dCi Touch ,Clio ,2018,Dizel,38000,90,1461,160000,4.3,3.3,3.7,300.0
Erzurum,Opel ,1.4 Essentia ,Corsa ,2015,Benzin,31000,90,1398,160000,7.8,4.9,6.0,285.0
Mersin,BMW ,320d Premium ,3 Serisi ,2006,Dizel,318,163,1995,160000,9.1,5.3,6.7,460.0
Izmir,Fiat ,1.6 E-Torq Urban ,Egea ,2016,Benzin,45000,110,1598,160000,8.5,5.0,6.3,520.0
Istanbul,Fiat ,1.6 E-Torq Lounge ,Egea ,2017,Benzin,28400,110,1598,161500,8.5,5.0,6.3,520.0
Istanbul,Peugeot ,Active  ,208 1.2 PureTech ,2016,Benzin,37000,82,1199,160000,4.6,3.9,4.2,285.0
Sivas,Peugeot ,Active  ,208 1.2 PureTech ,2018,Benzin,24000,82,1199,160000,4.6,3.9,4.2,285.0
Istanbul,Renault ,1.5 dCi Touch ,Clio ,2017,Dizel,49000,90,1461,160000,4.3,3.3,3.7,300.0
Malatya,Volkswagen ,1.4 Chrome Edition ,Polo ,2013,Benzin,43000,85,1390,160000,7.7,4.7,5.8,280.0
Antalya,Volkswagen ,1.8 TSI ,VW CC ,2009,Benzin,190,163.0,1700.5,160000,nan,,,
Tekirdag,Kia ,1.0 MPI Live  ,Picanto ,2020,Benzin,850,67,998,160000,6.8,4.4,5.3,255.0
Istanbul,Peugeot ,Allure  ,208 1.2 PureTech ,2016,Benzin,49500,110,1199,160000,5.7,3.8,4.5,285.0
Canakkale,Opel ,1.4 Enjoy ,Corsa ,2015,Benzin,15000,90,1398,160000,7.8,4.9,6.0,285.0
Ankara,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin,36000,100,1368,160000,8.5,5.1,6.4,301.0
Sakarya,Opel ,1.4 Design ,Corsa ,2018,Benzin,27600,90,1398,160000,7.8,4.9,6.0,285.0
Mugla,Nissan ,1.2 Match ,Micra ,2018,Benzin,26523,80,1198,160000,6.7,4.6,5.4,265.0
Mugla,Ford ,1.6 Trend X ,Focus ,2013,Benzin,135,88.0,1900.5,160000,nan,,,
Mersin,Honda ,1.6i VTEC Eco Elegance ,Civic ,2012,Benzin & LPG,11000,125,1595,160000,9.1,5.4,6.7,389.0
Antalya,Nissan ,1.2 Street ,Micra ,2018,Benzin,6500,80,1198,160000,6.7,4.6,5.4,265.0
Canakkale,Hyundai ,1.4 MPI Jump ,i20 ,2016,Benzin,17000,100,1368,159000,8.2,4.8,6.2,301.0
Kocaeli,Nissan ,1.2 Match ,Micra ,2018,Benzin,37000,80,1198,160000,6.7,4.6,5.4,265.0
Izmir,Opel ,1.4 Color Edition ,Corsa ,2015,Benzin,44000,90,1398,160000,7.8,4.9,6.0,285.0
Diyarbakir,Opel ,1.4 Enjoy ,Corsa ,2017,Benzin,21500,90,1398,159000,7.8,4.9,6.0,285.0
Karabuk,Renault ,1.5 dCi Icon ,Clio ,2015,Dizel,35309,88.0,1450.5,158000,nan,,,
Diyarbakir,Toyota ,1.33 Cool Skypack  ,Yaris ,2015,Benzin,42300,99,1329,160000,5.6,4.3,4.8,286.0
Hatay,Renault ,1.5 dCi Icon ,Clio ,2015,Dizel,35000,88.0,1450.5,155000,nan,,,
Ankara,Ford ,1.0 GTDi Titanium ,Fiesta ,2016,Benzin,40000,100,999,160000,6.6,3.9,4.9,290.0
Antalya,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,35000,90,1398,160000,7.8,4.9,6.0,285.0
Ankara,Audi ,A6 Sedan 2.0 TDI ,A6 ,2007,Dizel,286,140,1968,160000,8.4,5.1,6.2,546.0
Istanbul,Toyota ,1.33 Style X-Trend Skypack ,Yaris ,2016,Benzin,20000,98,1329,160000,6.3,4.5,5.1,286.0
Bursa,Ford ,4.6 GT ,Mustang ,1997,Benzin,45000,218,4601,160000,nan,,,
Malatya,Opel ,1.4 Enjoy ,Corsa ,2015,Benzin,17000,90,1398,160000,7.8,4.9,6.0,285.0
Istanbul,Seat ,Style ,Ibiza 1.0 EcoTSI ,2015,Benzin,40600,110,999,160000,5.3,3.9,4.4,292.0
Tokat,Ford ,1.6 Titanium ,Fiesta ,2013,Benzin,34000,105,1596,160000,8.4,4.5,5.9,290.0
Istanbul,Suzuki ,1.2 Techno ,Baleno ,2018,Benzin,24600,90,1242,160000,5.6,4.2,4.7,320.0
Sivas,Opel ,1.6 Essentia ,Astra ,2013,Benzin,3300,115,1598,160000,8.5,5.0,6.3,350.0
Adana,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin,30000,100,1368,160000,8.5,5.1,6.4,301.0
Erzurum,Opel ,1.4 Essentia ,Corsa ,2016,Benzin,14000,90,1398,160000,7.8,4.9,6.0,285.0
Istanbul,Renault ,1.6 Touch Plus ,Megane ,2015,Benzin,26200,115,1598,160000,8.6,5.1,6.4,372.0
Hatay,Dacia ,1.5 dCi Stepway ,Sandero ,2017,Dizel,16000,90,1461,160000,3.9,3.8,3.8,320.0
Tokat,Peugeot ,Active  ,208 1.2 PureTech ,2018,Benzin,43000,82,1199,160000,4.6,3.9,4.2,285.0
Ordu,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,3000,90,898,160000,5.7,4.7,5.1,320.0
Izmir,Dacia ,1.5 dCi Stepway ,Sandero ,2018,Dizel,23000,90,1461,160000,3.9,3.8,3.8,320.0
Istanbul,Opel ,1.4 Enjoy ,Corsa ,2019,Benzin,50000,90,1398,160000,7.8,4.9,6.0,285.0
Istanbul,Opel ,1.3 CDTI Essentia Konfor ,Astra ,2011,Dizel,45000,90,1248,160000,6.4,4.2,5.0,350.0
Izmir,Suzuki ,1.2 Techno ,Baleno ,2018,Benzin,9600,90,1242,159999,5.6,4.2,4.7,320.0
Istanbul,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,900,90,898,160000,5.7,4.7,5.1,320.0
Van,Hyundai ,1.4 MPI Style  ,i20 ,2016,Benzin & LPG,28000,100,1368,160000,8.5,5.1,6.4,301.0
Nevsehir,Skoda ,1.0 GreenTec Style ,Fabia ,2018,Benzin,9300,110,999,160000,5.4,4.1,4.6,305.0
Istanbul,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin,30000,100,1368,160000,8.5,5.1,6.4,301.0
Diyarbakir,Volkswagen ,1.4 Comfortline ,Polo ,2013,Benzin,35000,85,1390,160000,7.7,4.7,5.8,280.0
Konya,Hyundai ,1.4 MPI Style  ,i20 ,2016,Benzin,18800,100,1368,160000,8.5,5.1,6.4,301.0
Istanbul,Renault ,1.6 Touch Plus ,Megane ,2015,Benzin,26200,115,1598,160000,8.6,5.1,6.4,372.0
Balikesir,Hyundai ,1.4 MPI Elite ,i20 ,2016,Benzin,42000,100,1368,160000,8.5,5.1,6.4,301.0
Ankara,Renault ,1.5 dCi Touch ,Clio ,2017,Dizel,50000,90,1461,160000,4.3,3.3,3.7,300.0
Kastamonu,Seat ,1.2 TSI Style ,Ibiza ,2015,Benzin,37000,105,1197,160000,0.7,4.4,5.3,292.0
Bursa,Fiat ,1.6 E-Torq Urban ,Egea ,2017,Benzin,35000,110,1598,155000,8.5,5.0,6.3,520.0
Istanbul,Nissan ,1.2 Street ,Micra ,2017,Benzin,5500,163.0,1450.5,160000,nan,,,
Istanbul,Ford ,1.6 Trend X ,Fiesta ,2016,Benzin,27200,105,1596,160000,8.4,4.5,5.9,290.0
Izmir,Dacia ,1.5 dCi Stepway ,Sandero ,2018,Dizel,37000,90,1461,160000,3.9,3.8,3.8,320.0
Malatya,Volkswagen ,1.4 Chrome Edition ,Polo ,2013,Benzin,43000,85,1390,160000,7.7,4.7,5.8,280.0
Istanbul,Renault ,1.5 dCi Touch ,Clio ,2018,Dizel,48171,90,1461,160000,4.3,3.3,3.7,300.0
Rize,Hyundai ,1.4 MPI Elite ,i20 ,2014,Benzin & LPG,49000,100,1368,160000,8.5,5.1,6.4,301.0
Aydin,Nissan ,1.2 Match ,Micra ,2018,Benzin,35000,80,1198,160000,6.7,4.6,5.4,265.0
Tekirdag,Opel ,1.4 Design ,Corsa ,2017,Benzin,24146,90,1398,160000,7.8,4.9,6.0,285.0
Antalya,Opel ,1.4 Essentia ,Corsa ,2016,Benzin,25000,90,1398,160000,7.8,4.9,6.0,285.0
Ankara,Volkswagen ,1.6 TDI Highline ,Jetta ,2012,Dizel,190,105,1598,160000,5.6,4.2,4.7,510.0
Ankara,Toyota ,1.33 Fun Special ,Yaris ,2016,Benzin,27800,99,1329,160000,6.3,4.5,5.1,286.0
Istanbul,Seat ,Style ,Ibiza 1.0 EcoTSI ,2016,Benzin,28200,110,999,160000,5.3,3.9,4.4,292.0
Trabzon,Volkswagen ,1.2 TSI Comfortline ,Polo ,2014,Benzin,44000,90,1197,160000,5.8,4.1,4.7,280.0
Istanbul,Nissan ,1.2 Match ,Micra ,2018,Benzin,13000,80,1198,160000,6.7,4.6,5.4,265.0
Istanbul,Peugeot ,Active  ,208 1.2 PureTech ,2017,Benzin,8300,82,1199,160000,4.6,3.9,4.2,285.0
Samsun,Hyundai ,1.4 MPI Style  ,i20 ,2016,Benzin & LPG,36000,100,1368,160000,8.5,5.1,6.4,301.0
Rize,Renault ,1.2 Turbo Icon ,Clio ,2016,Benzin,41000,120,1197,160000,6.6,4.4,5.2,300.0
Konya,Honda ,1.3 Elegance ,Jazz ,2016,Benzin,43000,102,1318,160000,5.5,4.5,4.9,354.0
Bursa,Citroen ,1.6 VTi Feel ,C3 ,2017,Benzin,30000,115,1587,160000,9.2,5.3,6.8,300.0
Istanbul,Skoda ,1.2 TSI Style ,Fabia ,2016,Benzin,25236,110,1197,160000,5.8,4.1,4.7,315.0
Zonguldak,Toyota ,1.33 Fun Special ,Yaris ,2015,Benzin,24500,99,1329,160000,5.6,4.3,4.8,286.0
Izmir,Opel ,1.4 Essentia ,Corsa ,2015,Benzin,48000,90,1398,160000,7.8,4.9,6.0,285.0
Mugla,Ford ,1.0 GTDi Titanium ,Fiesta ,2016,Benzin,45819,100,999,160000,6.6,3.9,4.9,290.0
Mugla,Nissan ,1.2 Match ,Micra ,2018,Benzin,25000,80,1198,160000,6.7,4.6,5.4,265.0
Antalya,Nissan ,1.2 Match ,Micra ,2018,Benzin,33000,80,1198,160000,6.7,4.6,5.4,265.0
Ankara,Ford ,1.6 Titanium ,B-Max ,2013,Benzin & LPG,35000,105,1596,160000,8.6,5.1,6.2,318.0
Istanbul,Opel ,1.4 T Enjoy Active ,Astra ,2014,Benzin,40000,140,1364,160000,9.1,5.4,6.8,370.0
Balikesir,Nissan ,1.2 Match ,Micra ,2016,Benzin,17000,80,1198,160000,6.7,4.6,5.4,265.0
Istanbul,Peugeot ,1.6 BlueHDi Active ,208 ,2016,Dizel,41800,100,1560,160250,4.1,3.2,3.5,285.0
Istanbul,Dacia ,1.5 dCi Stepway ,Sandero ,2017,Dizel,21500,90,1461,160500,3.9,3.8,3.8,320.0
Istanbul,Volkswagen ,1.2 TSI Comfortline ,Polo ,2014,Benzin,33500,90,1197,160500,5.8,4.1,4.7,280.0
Rize,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,0,90,898,160500,5.7,4.7,5.1,320.0
Amasya,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,1,90,898,160500,5.7,4.7,5.1,320.0
Antalya,Volkswagen ,1.4 Comfortline ,Polo ,2012,Benzin,45000,85,1390,160500,7.7,4.7,5.8,280.0
Istanbul,Opel ,1.4 Essentia ,Corsa ,2016,Benzin,16000,90,1398,160500,7.8,4.9,6.0,285.0
Zonguldak,Opel ,1.4 T Cosmo ,Astra ,2013,Benzin & LPG,45000,140,1364,160500,9.7,5.5,7.0,370.0
Kirikkale,Hyundai ,1.4 MPI Jump ,i20 ,2019,Benzin,12000,100,1368,160500,8.5,5.1,6.4,301.0
Istanbul,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,0,90,898,160500,5.7,4.7,5.1,320.0
Istanbul,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,0,90,898,160500,5.7,4.7,5.1,320.0
Istanbul,Seat ,Style ,Ibiza 1.0 EcoTSI ,2016,Benzin,49700,110,999,160500,5.3,3.9,4.4,292.0
Antalya,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,29000,90,1398,160750,7.8,4.9,6.0,285.0
Ankara,Hyundai ,1.4 MPI Style  ,i20 ,2015,Benzin,29500,100,1368,160750,8.5,5.1,6.4,301.0
Sanliurfa,Fiat ,1.6 E-Torq Urban ,Egea ,2018,Benzin & LPG,15000,110,1598,160850,8.5,5.0,6.3,520.0
Istanbul,Volkswagen ,1.4 TDI Comfortline ,Polo ,2017,Dizel,47500,88.0,1450.5,160900,nan,,,
Bursa,Nissan ,1.2 Match ,Micra ,2017,Benzin,19000,80,1198,160900,6.7,4.6,5.4,265.0
Izmir,Peugeot ,1.6 e-HDi Active ,208 ,2016,Dizel,33000,92,1560,160900,4.3,3.5,3.8,285.0
Ankara,Toyota ,1.5 Hybrid Spirit ,Yaris ,2015,Hybrid,13710,75,1497,160900,3.3,3.5,3.5,286.0
Kocaeli,Hyundai ,Mode Plus ,Accent Blue 1.4 D-CVVT ,2017,Benzin & LPG,35500,100,1368,160900,8.2,5.4,6.4,465.0
Giresun,Opel ,1.4 Enjoy ,Corsa ,2015,Benzin,33000,90,1398,160900,7.8,4.9,6.0,285.0
Ankara,Toyota ,1.4 D-4D Touch ,Corolla ,2017,Dizel,35000,90,1364,160900,4.9,3.7,4.1,452.0
Balikesir,Fiat ,1.6 E-Torq Urban ,Egea ,2018,Benzin,32000,110,1598,160950,8.5,5.0,6.3,520.0
Istanbul,Hyundai ,1.4 MPI Jump ,i20 ,2019,Benzin,21000,100,1368,160950,8.5,5.1,6.4,301.0
Istanbul,Opel ,1.4 Essentia ,Corsa ,2019,Benzin,19800,90,1398,161000,7.8,4.9,6.0,285.0
Eskisehir,Kia ,1.0 MPI Cool ,Picanto ,2020,Benzin,0,67,998,161000,nan,,,
Diyarbakir,Opel ,1.4 Essentia ,Corsa ,2017,Benzin,28000,90,1398,161000,7.8,4.9,6.0,285.0
Kirikkale,Nissan ,1.2 Match ,Micra ,2018,Benzin,18200,80,1198,161000,6.7,4.6,5.4,265.0
Malatya,Fiat ,1.6 E-Torq Lounge ,Egea ,2016,Benzin & LPG,49000,110,1598,161000,8.5,5.0,6.3,520.0
Ankara,Hyundai ,1.4 MPI Style  ,i20 ,2015,Benzin,23763,100,1368,161000,8.5,5.1,6.4,301.0
Antalya,Hyundai ,1.4 MPI Elite ,i20 ,2016,Benzin,25600,100,1368,161000,8.5,5.1,6.4,301.0
Kocaeli,Nissan ,1.2 Street ,Micra ,2018,Benzin,7000,80,1198,161000,6.7,4.6,5.4,265.0
Amasya,Ford ,1.6 Titanium X ,Fiesta ,2015,Benzin,48000,113.0,1450.5,161000,nan,,,
Istanbul,Kia ,1.0 MPI Cool ,Picanto ,2020,Benzin,0,67,998,161000,nan,,,
Izmir,Fiat ,1.6 E-Torq Lounge ,Egea ,2017,Benzin & LPG,44000,110,1598,161000,8.5,5.0,6.3,520.0
Antalya,Nissan ,1.2 Match ,Micra ,2016,Benzin,9923,80,1198,161000,6.7,4.6,5.4,265.0
Istanbul,Kia ,1.0 MPI Cool ,Picanto ,2020,Benzin,0,67,998,161000,nan,,,
Sakarya,Opel ,1.6 Edition ,Astra ,2012,Benzin & LPG,43300,115,1598,161000,9.9,5.5,7.1,370.0
Gaziantep,Hyundai ,1.4 MPI Style  ,i20 ,2016,Benzin,32000,100,1368,161000,8.5,5.1,6.4,301.0
Istanbul,Volkswagen ,1.2 TSI Comfortline ,Polo ,2014,Benzin,40000,90,1197,159000,5.8,4.1,4.7,280.0
Bursa,Hyundai ,1.4 MPI Jump ,i20 ,2019,Benzin,19699,88.0,1450.5,161000,nan,,,
Antalya,Toyota ,1.33 Style Red Skypack ,Yaris ,2015,Benzin,43000,99,1329,161000,5.6,4.3,4.8,286.0
Kocaeli,Nissan ,1.2 Match ,Micra ,2017,Benzin,31000,80,1198,161000,6.7,4.6,5.4,265.0
Istanbul,Ford ,1.6 Titanium ,Fiesta ,2016,Benzin,50000,105,1596,161000,8.4,4.5,5.9,290.0
Trabzon,Opel ,1.3 CDTI Enjoy ,Corsa ,2015,Dizel,39170,95,1248,161000,3.4,3.0,3.2,285.0
Istanbul,Volkswagen ,1.2 TSI Comfortline ,Polo ,2016,Benzin,28000,90,1197,161000,5.8,4.1,4.7,280.0
Adana,Dacia ,1.5 dCi Stepway ,Sandero ,2018,Dizel,39900,90,1461,161000,3.9,3.8,3.8,320.0
Izmir,Dacia ,1.5 dCi Stepway ,Sandero ,2017,Dizel,34000,90,1461,161000,3.9,3.8,3.8,320.0
Istanbul,Renault ,1.5 dCi Touch ,Clio ,2018,Dizel,43000,90,1461,161000,4.3,3.3,3.7,300.0
Isparta,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,44000,90,1398,161000,7.8,4.9,6.0,285.0
Afyonkarahisar,Nissan ,1.2 Match ,Micra ,2018,Benzin,32000,80,1198,161000,6.7,4.6,5.4,265.0
Istanbul,Nissan ,1.2 Match ,Micra ,2017,Benzin,9580,80,1198,161000,6.7,4.6,5.4,265.0
Istanbul,Fiat ,500 1.2 Lounge ,500 Ailesi ,2012,Benzin,39400,69,1242,161000,6.2,4.3,5.0,185.0
Igdir,Fiat ,1.6 E-Torq Easy ,Egea ,2019,Benzin,22400,110,1598,161000,8.5,5.0,6.3,520.0
Mardin,Dacia ,1.5 dCi Stepway ,Sandero ,2016,Dizel,29000,90,1461,161000,3.9,3.8,3.8,320.0
Izmir,Hyundai ,1.4 MPI Jump ,i20 ,2019,Benzin,13750,100,1368,161000,8.5,5.1,6.4,301.0
Kayseri,Opel ,1.4 Essentia ,Corsa ,2017,Benzin,30000,90,1398,161000,7.8,4.9,6.0,285.0
Bingol,Seat ,Style ,Ibiza 1.0 EcoTSI ,2016,Benzin,34000,110,999,161000,5.3,3.9,4.4,292.0
Balikesir,Volkswagen ,1.4 Comfortline ,Polo ,2014,Benzin,35000,85,1390,161000,7.7,4.7,5.8,280.0
Zonguldak,Nissan ,1.2 Match ,Micra ,2018,Benzin,10000,80,1198,161250,6.7,4.6,5.4,265.0
Ankara,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin,34900,100,1368,161250,8.5,5.1,6.4,301.0
Balikesir,Opel ,1.4 Enjoy ,Corsa ,2015,Benzin,24500,88.0,1450.5,161350,nan,,,
Izmir,Honda ,1.4 Fun ,Jazz ,2012,Benzin,34138,88.0,1450.5,161500,nan,,,
Ankara,Volkswagen ,1.2 TSI Comfortline ,Polo ,2014,Benzin,49000,90,1197,159900,5.8,4.1,4.7,280.0
Istanbul,Toyota ,1.33 Fun Special Skypack ,Yaris ,2014,Benzin,38300,99,1329,161500,5.6,4.3,4.8,286.0
Istanbul,Volkswagen ,1.2 TSI Comfortline ,Polo ,2016,Benzin,43000,90,1197,161500,5.8,4.1,4.7,280.0
Istanbul,Nissan ,1.2 Tekna ,Pulsar ,2016,Benzin,40000,115,1197,161500,6.2,4.5,5.1,385.0
Samsun,Toyota ,1.33 Cool Skypack  ,Yaris ,2015,Benzin,46000,99,1329,161500,5.6,4.3,4.8,286.0
Istanbul,Opel ,1.4 Enjoy ,Corsa ,2016,Benzin,26000,90,1398,161500,7.8,4.9,6.0,285.0
Kocaeli,Kia ,1.4 CVVT Concept ,Rio ,2017,Benzin,33000,100,1368,161500,8.2,4.9,6.1,325.0
Istanbul,Hyundai ,1.2 MPI Elite ,i10 ,2020,Benzin,2200,84,1197,161500,nan,,,
Nevsehir,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin,25000,100,1368,161500,8.5,5.1,6.4,301.0
Van,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin,25000,100,1368,161500,8.5,5.1,6.4,301.0
Istanbul,Fiat ,500C 1.2 Lounge ,500 Ailesi ,2015,Benzin,47000,69,1242,161500,6.2,4.3,5.0,182.0
Istanbul,Nissan ,1.2 Match ,Micra ,2018,Benzin,24359,88.0,1300,161500,nan,,,
Samsun,Hyundai ,1.4 MPI Style  ,i20 ,2017,Benzin & LPG,45000,100,1368,161500,8.5,5.1,6.4,301.0
Adana,Hyundai ,1.4 MPI Style  ,i20 ,2014,Benzin,38000,100,1368,161500,8.5,5.1,6.4,301.0
Antalya,Toyota ,1.33 Fun Special ,Yaris ,2014,Benzin,27123,99,1329,161500,5.6,4.3,4.8,286.0
Istanbul,Hyundai ,1.4 MPI Style  ,i20 ,2016,Benzin,37000,100,1368,161500,8.5,5.1,6.4,301.0
Bursa,Renault ,1.2 Turbo Icon ,Clio ,2015,Benzin,49300,120,1197,161500,6.6,4.4,5.2,300.0
Ankara,Dacia ,1.5 dCi Stepway Style  ,Sandero ,2018,Dizel,43000,90,1461,161500,3.9,3.8,3.8,320.0
Adana,Renault ,1.5 dCi Touch ,Fluence ,2016,Dizel,38000,110,1461,161500,5.2,4.0,4.4,530.0
Tekirdag,Ford ,1.0 GTDi Titanium X ,Fiesta ,2015,Benzin,40000,88.0,1300,161500,nan,,,
Adana,Toyota ,1.6 Comfort Extra ,Corolla ,2012,Benzin,35000,124,1598,161500,0.9,5.9,7.1,450.0
Ankara,Ford ,1.6 Ti-VCT Trend X ,Fiesta ,2016,Benzin,43650,113.0,1450.5,161500,nan,,,
Trabzon,Hyundai ,1.4 MPI Style  ,i20 ,2018,Benzin,29500,100,1368,161500,8.5,5.1,6.4,301.0
Istanbul,Renault ,1.5 dCi Touch ,Fluence ,2015,Dizel,46000,110,1461,161500,5.2,4.0,4.4,530.0
Istanbul,Seat ,Style ,Toledo 1.4 TDI ,2017,Dizel,34000,90,1422,161500,4.2,3.6,3.8,550.0
Sakarya,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,0,90,898,161500,5.7,4.7,5.1,320.0
Istanbul,Hyundai ,1.4 MPI Elite ,i20 ,2015,Benzin & LPG,32000,100,1368,161500,8.5,5.1,6.4,301.0
Ankara,Opel ,1.4 Enjoy ,Corsa ,2019,Benzin,23000,90,1398,161500,7.8,4.9,6.0,285.0
Kocaeli,Ford ,1.6 Titanium ,Fiesta ,2016,Benzin,33280,105,1596,161500,8.4,4.5,5.9,290.0
Ankara,Peugeot ,Active  ,208 1.2 PureTech ,2018,Benzin,17900,82,1199,161500,4.6,3.9,4.2,285.0
Osmaniye,Ford ,1.6 Titanium X ,Fiesta ,2013,Benzin & LPG,46253,105,1596,161500,8.4,4.5,5.9,290.0
Ordu,Nissan ,1.2 Match ,Micra ,2018,Benzin,15500,80,1198,161500,6.7,4.6,5.4,265.0
Antalya,Dacia ,1.5 dCi Stepway ,Sandero ,2017,Dizel,48000,90,1461,161500,3.9,3.8,3.8,320.0
Ankara,Toyota ,1.33 Cool Skypack  ,Yaris ,2014,Benzin,47000,99,1329,161500,5.6,4.3,4.8,286.0
Osmaniye,Ford ,1.6 Titanium X ,Fiesta ,2013,Benzin & LPG,46253,105,1596,161500,8.4,4.5,5.9,290.0
Istanbul,Nissan ,1.2 Match ,Micra ,2018,Benzin,12000,80,1198,161500,6.7,4.6,5.4,265.0
Antalya,Opel ,1.4 Enjoy ,Corsa ,2017,Benzin,19000,90,1398,157000,7.8,4.9,6.0,285.0
Istanbul,Hyundai ,1.4 MPI Jump ,i20 ,2020,Benzin,14330,100,1368,161750,8.5,5.1,6.4,301.0
Izmir,Toyota ,1.6 Active Skypack ,Auris ,2013,Benzin,30240,132,1598,161750,7.4,4.8,5.7,353.0
Manisa,Dacia ,1.5 dCi Stepway ,Sandero ,2017,Dizel,36970,90,1461,161750,3.9,3.8,3.8,320.0
Kahramanmaras,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,0,90,898,161750,5.7,4.7,5.1,320.0
Istanbul,Hyundai ,1.6 CRDI Mode Plus ,Accent Blue ,2018,Dizel,46800,136,1582,161750,5.7,4.0,4.6,465.0
Ankara,Renault ,1.0 TCe Joy ,Clio ,2020,Benzin,8000,100,999,161750,6.3,4.1,5.0,391.0
Afyonkarahisar,Nissan ,1.2 Match ,Micra ,2018,Benzin,15000,80,1198,161750,6.7,4.6,5.4,265.0
Balikesir,Dacia ,0.9 TCe Stepway Easy-R ,Sandero ,2020,Benzin,0,90,898,161750,5.7,4.7,5.1,320.0
Istanbul,Ford ,1.0 GTDi Titanium ,Fiesta ,2015,Benzin,32000,100,999,158750,6.6,3.9,4.9,290.0
Istanbul,Hyundai ,1.4 MPI Elite ,i20 ,2016,Benzin,28000,100,1368,161750,8.5,5.1,6.4,301.0
Ankara,Renault ,1.2 Turbo Joy ,Clio ,2017,Benzin,18000,120,1197,161750,6.6,4.4,5.2,300.0
Ankara,Peugeot ,Active  ,208 1.2 PureTech ,2018,Benzin,15000,82,1199,161750,4.6,3.9,4.2,285.0
Kocaeli,Nissan ,1.2 Match ,Micra ,2018,Benzin,35000,80,1198,158000,6.7,4.6,5.4,265.0
Istanbul,Volkswagen ,1.4 Chrome Edition ,Polo ,2013,Benzin,25000,85,1390,161750,7.7,4.7,5.8,280.0
Aksaray,Opel ,1.4 Enjoy ,Corsa ,2017,Benzin,22000,90,1398,161750,7.8,4.9,6.0,285.0
Denizli,Hyundai ,1.4 MPI Jump ,i20 ,2018,Benzin,45000,100,1368,161750,8.5,5.1,6.4,301.0
Istanbul,Hyundai ,1.6 CRDI Mode Plus ,Accent Blue ,2017,Dizel,49000,136,1582,161750,5.7,4.0,4.6,465.0
Istanbul,Renault ,1.5 dCi Icon ,Clio ,2018,Dizel,31000,90,1461,161750,4.3,3.3,3.7,300.0
Tokat,Renault ,1.5 dCi Icon ,Clio ,2015,Dizel,35000,90,1461,161750,4.3,3.3,3.7,300.0
Zonguldak,Opel ,1.4 Enjoy ,Corsa ,2015,Benzin,48000,90,1398,161750,7.8,4.9,6.0,285.0
Kayseri,Volkswagen ,1.2 TSI Comfortline ,Polo ,2014,Benzin,30000,90,1197,161800,5.8,4.1,4.7,280.0
